Time,Gap,X,Y,Code
8.983333333,,1414.981513,62.9924444,Code1Medical
12.03333333,3.05,1415.663332,66.6856274,Code1Medical
8.083333333,20.05,1402.917116,67.2916882,MVA
0.716666667,16.63333333,1414.981513,62.9924444,Code3Med
8.866666667,8.15,1415.436059,51.7803196,MVA
11.25,2.383333333,1416.98909,64.39396,Code3Med
13.9,2.65,1418.636818,63.8447174,Code3Trauma
17.53333333,3.633333333,1413.239089,46.0984996,Code3Med
17.3,23.76666667,1417.992878,65.9848696,StructureFire
10.51666667,17.21666667,1416.231514,64.8106268,StructureFire
14.13333333,3.616666667,1417.216363,65.7007786,Code3Med
16.45,2.316666667,1417.235302,62.689414,Code3Med
18.61666667,2.166666667,1411.837573,62.784111,Code3Med
20.06666667,1.45,1417.443635,64.772748,Code3Med
8.466666667,12.4,1414.924695,62.9166868,Code3Med
9.916666667,1.45,1415.776968,64.7916874,Code3Med
11.53333333,1.616666667,1416.401968,64.488657,StructureFire
12.9,1.366666667,1415.909544,63.0113838,Code3Med
15.58333333,2.683333333,1417.121666,65.2083542,Code3Med
15.9,0.316666667,1418.977727,63.4659294,MVA
18.36666667,2.466666667,1413.030755,50.000016,Code3Trauma
21.41666667,3.05,1411.818634,49.337137,Code3Trauma
21.95,0.533333333,1417.159544,66.3636576,Code3Trauma
1.033333333,3.083333333,1417.93606,66.3447182,Code3Trauma
4.266666667,3.233333333,1416.648181,64.3371418,Code3Med
7.866666667,3.6,1415.739089,63.6932022,Fire
9.983333333,2.116666667,1414.602725,62.6325958,Code3Med
11.7,1.716666667,1412.727725,62.784111,Code3Med
6.75,19.05,1415.776968,64.7916874,Code3Med
7.816666667,1.066666667,1416.875453,64.7538086,Code3Med
9.316666667,1.5,1417.216363,65.7007786,Code3Med
10.56666667,1.25,1417.121666,64.3182024,StructureFire
10.68333333,0.116666667,1416.496665,66.1363848,StructureFire
11.8,1.116666667,1416.496665,66.1363848,StructureFire
13.2,1.4,1416.420908,64.8485056,Code3Med
