Round,Step,FirstTimeResponse,FullTimeResponse,OverWhelm,NoDispatch,TimeTaken,Cause,CauseRequirement,ActionTaken,exitCode,Emergency_Region,GreedyChoice,Action_Votes,Vehicles_Available,Number_Available,ROOT_OBJ,CONSENSUS_OBJ,ROOT_ACTION,CONSENSUS_ACTION
0,0,2.210526316,2.210526316,FALSE,FALSE,4.925,[$Code1Medical],[ $Ambulance=1:],[dispatch($u1: $Ambulance);],2,Region_2,[$u1] : 1.3999999999999062,,[$u1]:,1,-12.99441584,-12.99441585,[dispatch($u1: $Ambulance);],[dispatch($u1: $Ambulance);]
0,1,394.7368421,394.7368421,TRUE,TRUE,0.651,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-16.92181634,-16.92181634,[],[]
0,2,394.7368421,394.7368421,TRUE,TRUE,0.925,[$Code3Med],[ $Ambulance=1:],[],2,Region_1,[$u1] : 144.62145743983933,,[$u1]:,1,-16.47772666,-16.47772666,[],[]
0,3,4.235268182,4.235268182,FALSE,FALSE,0.728,[$Code3Trauma],[ $Ambulance=1:],[dispatch($u1: $Ambulance);],2,Region_2,[$u1] : 2.682336515475143,,[$u1]:,1,-12.17209392,-12.16882928,[dispatch($u1: $Ambulance);],[dispatch($u1: $Ambulance);]
0,4,394.7368421,394.7368421,TRUE,TRUE,0.687,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-15.81663003,-15.81663003,[],[]
0,5,394.7368421,394.7368421,TRUE,TRUE,1.1,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_1,[$u1] : 144.91132359510598,,[$u1]:,1,-16.25870767,-16.25870766,[],[]
0,6,394.7368421,394.7368421,TRUE,TRUE,1.17,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1,[$u1] : 143.99273804804616,,[$u1]:,1,-14.91925045,-14.91925045,[],[]
0,7,3.519783824,3.519783824,FALSE,FALSE,0.998,[$Fire],[ $Ambulance=1:],[dispatch($u1: $Ambulance);],2,Region_2,[$u1] : 2.229196421814521,,[$u1]:,1,-13.0137721,-13.01377211,[dispatch($u1: $Ambulance);],[dispatch($u1: $Ambulance);]
0,8,394.7368421,394.7368421,TRUE,TRUE,2.347,[$Fire],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-16.87795197,-16.87795197,[],[]
0,9,394.7368421,394.7368421,TRUE,TRUE,1.644,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1,[$u1] : 144.87636870568025,,[$u1]:,1,-17.3827767,-17.3827767,[],[]
0,10,6.516625886,6.516625886,FALSE,FALSE,1.663,[$Code1Medical],[ $Ambulance=1:],[dispatch($u1: $Ambulance);],2,Region_2,[$u1] : 4.127196394450024,,[$u1]:,1,-14.12583478,-13.69148375,[dispatch($u1: $Ambulance);],[]
0,11,394.7368421,394.7368421,TRUE,TRUE,1.369,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-19.73464,-19.73463999,[],[]
0,12,394.7368421,394.7368421,TRUE,TRUE,1.686,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-15.82920363,-15.82920363,[],[]
0,13,123.4322616,123.4322616,FALSE,FALSE,2.305,[$Code3Med],[ $Ambulance=1:],[dispatch($u1: $Ambulance);],2,Region_1,[$u1] : 144.0043052558173,,[$u1]:,1,-21.7940464,-15.81438869,[dispatch($u1: $Ambulance);],[]
0,14,394.7368421,394.7368421,TRUE,TRUE,0.963,[$Fire],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,15,394.7368421,394.7368421,TRUE,TRUE,1.278,[$Code1Medical],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,16,394.7368421,394.7368421,TRUE,TRUE,0.807,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,17,394.7368421,394.7368421,TRUE,TRUE,0.789,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,18,394.7368421,394.7368421,TRUE,TRUE,1.124,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,19,394.7368421,394.7368421,TRUE,TRUE,0.718,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,20,394.7368421,394.7368421,TRUE,TRUE,0.712,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,21,394.7368421,394.7368421,TRUE,TRUE,0.71,[$Fire],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,22,394.7368421,394.7368421,TRUE,TRUE,0.858,[$Code3Med],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,23,394.7368421,394.7368421,TRUE,TRUE,1.096,[$Fire],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,24,394.7368421,394.7368421,TRUE,TRUE,0.791,[$Fire],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,25,394.7368421,394.7368421,TRUE,TRUE,1.034,[$Fire],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,26,394.7368421,394.7368421,TRUE,TRUE,0.95,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,27,394.7368421,394.7368421,TRUE,TRUE,0.927,[$Fire],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,28,394.7368421,394.7368421,TRUE,TRUE,0.971,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,29,394.7368421,394.7368421,TRUE,TRUE,0.95,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,30,394.7368421,394.7368421,TRUE,TRUE,0.957,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,31,394.7368421,394.7368421,TRUE,TRUE,1.088,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,32,394.7368421,394.7368421,TRUE,TRUE,1.218,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,33,394.7368421,394.7368421,TRUE,TRUE,1.036,[$Fire],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,34,394.7368421,394.7368421,TRUE,TRUE,1.006,[$Code3Trauma],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,35,394.7368421,394.7368421,TRUE,TRUE,0.921,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,36,394.7368421,394.7368421,TRUE,TRUE,1.473,[$Code3Med],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,37,394.7368421,394.7368421,TRUE,TRUE,1.202,[$Code1Medical],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,38,394.7368421,394.7368421,TRUE,TRUE,1.098,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,39,394.7368421,394.7368421,TRUE,TRUE,1.178,[$Code3Med],[ $Ambulance=1:],[],2,Region_1, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
0,40,394.7368421,394.7368421,TRUE,TRUE,1.019,[$Code3Med],[ $Ambulance=1:],[],2,Region_2, : 1.0E7,,,0,-26.31578947,-26.31578947,[],[]
