C3mCall,r,date,time,address,X,Y
1,Code3Med,2011-01-01,00:30:06,0NW6thSTCorvallis,7482487.312,339924.8854
2,Code3Med,2011-01-01,00:32:12,200NW25THSTCorvallis,7476906.095,315660.6718
3,Code3Med,2011-01-01,00:35:12,1000NW23RD                                             STCORVALLIS      ,7486475.563,300828.2916
4,Code3Med,2011-01-01,00:36:46,0NW15TH                                             AVECORVALLIS      ,7484916.031,345654.1987
5,Code3Med,2011-01-01,00:42:11,200NW9thSTCorvallis,7489404.816,359630.4913
6,Code3Med,2011-01-01,01:04:07,23900Hwy 34HWYPhilomath,7477595.014,383817.1825
7,Code3Med,2011-01-01,01:04:22,100NW9TH                                              STCORVALLIS      ,7505024.718,323681.4554
8,Code3Med,2011-01-01,01:05:07,1200NWCLEVELAND                                        AVECORVALLIS      ,7485924.042,303330.834
9,Code3Med,2011-01-01,01:19:08,1700MCBEE                                            RDPHILOMATH      ,7471748.976,353928.1352
10,Code3Med,2011-01-01,01:20:50,4900SWHOLLYHOCK                                        CIRCORVALLIS      ,7484666.521,346737.3691
11,Code3Med,2011-01-01,01:28:34,200NECONIFER                                          BLVDCORVALLIS      ,7503388.694,316690.0019
12,Code3Med,2011-01-01,01:58:38,3300SOUTHWOOD                                        DRPHILOMATH      ,7504772.246,348384.698
13,Code3Med,2011-01-01,02:38:01,300NW21stSTCorvallis,7485664.118,335463.376
14,Code3Med,2011-01-01,03:08:07,4500NEHIGHWAY 20                                       HWYCORVALLIS      ,7505608.959,373401.5943
15,Code3Med,2011-01-01,04:22:52,0TANGENT                                          RDAlbany,7501316.29,341374.9427
16,Code3Med,2011-01-01,04:24:16,800NW9TH                                              STCORVALLIS      ,7506289.216,338051.5554
17,Code3Med,2011-01-01,04:35:00,29500WeslinnDRCorvallis,7486398.314,364736.3092
18,Code3Med,2011-01-01,04:46:01,200NECONIFER                                          BLVDCORVALLIS      ,7510381.422,348368.8614
19,Code3Med,2011-01-01,05:41:38,600NW2ND                                              STCORVALLIS      ,7488829.56,320565.0942
20,Code3Med,2011-01-01,05:48:27,2700NWHIGHLAND                                         DRCORVALLIS      ,7481988.524,310742.0132
21,Code3Med,2011-01-01,06:38:53,400NWMAXINE                                           AVECORVALLIS      ,7481259.483,334106.3518
22,Code3Med,2011-01-01,06:42:22,200NECONIFER                                          BLVDCORVALLIS      ,7518207.334,342519.2219
